Semana epidemiológica dos sintomas,Casos notificados
1,6
2,5
3,8
4,6
5,11
6,10
7,7
8,10
9,11
10,7
11,6
12,7
13,4
14,5
15,2
16,3
17,7
18,8
19,6
20,7
21,3
22,1
23,1
24,3
25,3
26,1
27,2
28,3
29,5
30,2
31,2
32,1
35,2
36,2
38,1
39,1
40,1
42,1
44,3
45,3
46,1
47,1
48,1
49,2
50,1
51,2
52,2
Total,187
