Semana epidemiológica dos sintomas,Casos notificados
1,332
2,240
3,254
4,190
5,171
6,162
7,170
8,149
9,117
10,126
11,102
12,91
13,103
14,91
15,86
16,61
17,43
18,62
19,47
20,32
21,13
22,34
23,16
24,14
25,25
26,26
27,22
28,24
29,14
30,15
31,15
32,14
33,16
34,11
35,10
36,6
37,9
38,7
39,3
40,2
41,4
42,16
43,6
44,9
45,2
46,4
47,14
48,34
49,37
50,29
51,32
52,38
