Semana epidemiológica dos sintomas,Casos notificados
1,3
2,2
3,2
4,2
5,1
6,2
7,5
8,4
9,1
10,5
11,5
12,6
13,12
14,37
15,38
16,8
17,2
18,7
19,5
20,3
21,1
22,5
23,2
24,5
25,2
26,1
27,0
28,3
29,0
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,1
52,1
