Semana epidemiológica dos sintomas,Casos notificados
1,2
2,2
5,3
6,4
7,4
8,3
9,2
10,1
11,5
13,5
14,3
15,11
16,30
17,41
18,58
19,81
20,65
21,33
22,16
23,24
24,11
25,8
26,9
27,6
28,5
29,7
30,3
32,4
33,1
34,2
35,1
36,2
37,2
38,1
39,1
40,4
41,3
42,6
43,4
44,3
45,3
46,6
47,2
48,8
49,1
50,1
52,7
Total,504
