Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2017,0,"25,9","23,4",83,72
01/01/2017,"5,4","23,4",22,94,83
01/01/2017,"0,8","22,3","21,9",95,94
01/01/2017,0,"22,4",22,94,93
01/01/2017,0,"22,1","21,7",95,94
01/01/2017,0,"21,9","21,7",95,95
01/01/2017,0,22,"21,4",95,95
01/01/2017,0,"21,7","21,1",95,95
01/01/2017,0,"21,6","21,1",95,94
01/01/2017,0,22,"21,4",94,93
01/01/2017,0,"24,8",22,93,81
01/01/2017,0,"27,2","24,8",82,67
01/01/2017,0,"28,9","26,7",71,61
01/01/2017,0,"30,2","28,5",64,54
01/01/2017,0,"31,6","30,1",58,49
01/01/2017,0,"32,8","31,4",54,46
01/01/2017,0,"33,6","32,3",53,45
01/01/2017,0,"34,1","33,4",51,42
01/01/2017,0,"34,8","33,9",47,40
01/01/2017,0,"34,9","34,1",48,39
01/01/2017,0,"34,9",33,47,39
01/01/2017,0,33,"28,4",70,47
01/01/2017,0,"29,8","27,1",72,59
01/01/2017,0,"27,1","24,9",84,67
02/01/2017,0,"25,5","24,8",84,80
02/01/2017,0,"25,1","23,8",88,82
02/01/2017,0,"24,5","23,6",89,85
02/01/2017,0,24,23,90,86
02/01/2017,0,"23,3","22,7",91,89
02/01/2017,0,23,"22,5",89,87
02/01/2017,0,"22,9","22,2",91,88
02/01/2017,0,"22,6",22,92,91
02/01/2017,0,"22,3","21,6",93,92
02/01/2017,0,"22,5","21,4",93,91
02/01/2017,0,"24,3","22,4",91,82
02/01/2017,0,"26,8","24,3",83,71
02/01/2017,0,"28,8","26,8",74,63
02/01/2017,0,"30,9","28,4",68,61
02/01/2017,0,"31,8","30,3",64,56
02/01/2017,0,"32,9","31,5",62,49
02/01/2017,0,34,"32,7",54,47
02/01/2017,0,"34,4","27,7",59,46
02/01/2017,"11,2","27,6","21,2",90,56
02/01/2017,"0,2","23,3","21,5",92,88
02/01/2017,0,"24,8","23,2",88,82
02/01/2017,0,"24,2","23,8",90,86
02/01/2017,0,"24,2","23,4",92,87
02/01/2017,0,"23,6","23,1",93,91
03/01/2017,0,"23,7","23,1",93,91
03/01/2017,0,"23,3",23,94,93
03/01/2017,0,"23,6","23,1",94,92
03/01/2017,0,"23,5","22,8",93,91
03/01/2017,0,23,"22,5",93,92
03/01/2017,0,"22,6","22,3",93,92
03/01/2017,0,"22,5","21,8",93,91
03/01/2017,0,"21,8","21,1",95,92
03/01/2017,0,"21,5","21,2",95,94
03/01/2017,0,22,21,95,95
03/01/2017,0,24,"21,9",95,83
03/01/2017,0,"26,3","23,8",85,73
03/01/2017,0,"27,9","25,8",77,65
03/01/2017,0,"29,4","27,6",70,61
03/01/2017,0,"31,3","29,3",65,54
03/01/2017,0,"31,8","30,2",63,53
03/01/2017,0,"32,8","31,3",59,46
03/01/2017,0,"33,4","32,6",53,45
03/01/2017,0,"33,8","31,8",60,46
03/01/2017,0,"31,8","28,8",69,58
03/01/2017,"21,6",29,20,95,55
03/01/2017,2,"20,9","20,3",96,95
03/01/2017,"0,2",21,"20,7",95,94
03/01/2017,0,"21,2","20,8",95,94
04/01/2017,"0,4","21,5","20,9",94,90
04/01/2017,0,"21,3","21,1",92,90
04/01/2017,0,"21,3","20,8",93,90
04/01/2017,0,21,"20,8",92,91
04/01/2017,0,"20,8","20,5",94,92
04/01/2017,0,"20,7","20,3",93,92
04/01/2017,0,"20,4","20,2",94,93
04/01/2017,0,"20,3","20,1",94,94
04/01/2017,0,"20,2","20,1",94,93
04/01/2017,0,"20,5","20,1",93,92
04/01/2017,0,"21,7","20,5",93,87
04/01/2017,0,"23,7","21,7",88,81
04/01/2017,0,"25,2","23,4",83,75
04/01/2017,0,"28,3","25,2",76,66
04/01/2017,0,"29,7","28,2",70,60
04/01/2017,0,31,"29,2",66,59
04/01/2017,0,"31,7","30,5",62,56
04/01/2017,0,"32,6","31,5",59,53
04/01/2017,0,"32,7","30,9",55,49
04/01/2017,0,"32,2","31,2",54,49
04/01/2017,0,"32,2","30,3",56,50
04/01/2017,0,"30,3","28,2",63,56
