Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2017,0,"25,5","25,1",73,69
01/01/2017,0,"25,2","24,9",75,73
01/01/2017,0,"24,9","24,1",79,75
01/01/2017,0,"24,2","23,3",84,79
01/01/2017,0,"23,7","23,3",84,82
01/01/2017,0,"23,3","22,5",86,83
01/01/2017,0,"22,9","22,5",87,85
01/01/2017,0,"22,8","22,6",86,85
01/01/2017,0,"22,7","22,1",88,85
01/01/2017,0,"23,7","22,3",87,83
01/01/2017,0,"27,2","23,7",84,67
01/01/2017,0,"29,5","26,8",70,58
01/01/2017,0,"31,7","29,4",60,49
01/01/2017,0,"33,4","31,5",52,43
01/01/2017,0,"34,5","32,7",46,38
01/01/2017,0,"35,6","34,1",41,34
01/01/2017,0,"35,4","32,1",49,34
01/01/2017,0,"33,2","31,8",50,45
01/01/2017,0,"32,7","30,4",53,45
01/01/2017,0,"31,2","30,3",53,48
01/01/2017,0,"30,4","28,3",62,52
01/01/2017,0,"28,3",27,66,62
01/01/2017,0,27,26,72,66
01/01/2017,0,26,"25,6",78,72
02/01/2017,0,"25,6","25,1",81,78
02/01/2017,0,"25,2","24,8",83,81
02/01/2017,0,"24,8","24,2",85,82
02/01/2017,0,"24,2","23,5",88,85
02/01/2017,0,"23,5",23,90,88
02/01/2017,0,"23,1","22,7",90,90
02/01/2017,0,"23,1","22,8",90,90
02/01/2017,0,23,"22,8",90,90
02/01/2017,0,"22,9","22,6",91,90
02/01/2017,0,"24,5","22,8",91,88
02/01/2017,0,28,"24,3",88,72
02/01/2017,0,"31,3","27,8",73,58
02/01/2017,0,"32,2","30,8",60,55
02/01/2017,0,"35,2","31,8",59,41
02/01/2017,0,"35,9","34,6",47,37
02/01/2017,0,"37,1","34,7",48,36
02/01/2017,0,35,"32,8",52,46
02/01/2017,0,"33,4","32,6",54,48
02/01/2017,0,"32,9","31,1",54,49
02/01/2017,0,"31,2","29,5",59,53
02/01/2017,0,"29,5","28,4",65,59
02/01/2017,0,"29,2","28,7",64,61
02/01/2017,0,"28,8","26,9",74,63
02/01/2017,0,"26,9","25,9",80,74
03/01/2017,0,"25,9","25,3",81,78
03/01/2017,0,"25,8","25,3",81,78
03/01/2017,0,"25,3","24,8",85,81
03/01/2017,0,"25,4","24,9",85,81
03/01/2017,0,"25,3","24,9",83,81
03/01/2017,0,"25,1","24,6",83,82
03/01/2017,0,"24,7","24,5",84,83
03/01/2017,0,"24,7","23,4",89,84
03/01/2017,0,"23,5","23,2",90,89
