COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,Média de Precipitação,Média de Temperatura Máxima,Média de Temperatura Mínima,Média de Umidade Relativa Máxima,Média de Umidade Relativa Mínima
1,3,. Cruzeiro,92.0,3151400,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
2,3,. Lago Norte,299.0,3582100,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
3,3,. Lago Sul,127.0,2937700,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
4,3,. Plano Piloto,607.0,20618300,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
5,3,. Sudoeste Octogonal,91.0,5003300,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
6,3,. Varjão,42.0,879300,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
7,3,. Candangolândia,43.0,1601900,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
8,3,. Estrutural,188.0,3068700,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
9,3,. Guará,481.0,10784700,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
10,3,. Núcleo Bandeirante,88.0,2313400,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
11,3,. Park Way,37.0,2034500,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
12,4,. Riacho Fundo I,112.0,3529100,0.1641511588080831,22.786927731476197,21.087121817559083,66.72382692088138,59.72485443543784
13,4,. Riacho Fundo II,109.0,3710800,0.1641511588080831,22.786927731476197,21.087121817559083,66.72382692088138,59.72485443543784
14,3,. SIA,12.0,435600,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
15,5,. Jardim Botânico,172.0,3586500,0.195884966097732,22.398176504967857,20.87481005260081,71.77485862393968,64.94297832233742
16,5,. Itapoã,456.0,5208900,0.195884966097732,22.398176504967857,20.87481005260081,71.77485862393968,64.94297832233742
17,5,. Paranoá,705.0,4828100,0.195884966097732,22.398176504967857,20.87481005260081,71.77485862393968,64.94297832233742
18,5,. São Sebastião,1063.0,7457000,0.195884966097732,22.398176504967857,20.87481005260081,71.77485862393968,64.94297832233742
19,2,. Fercal,61.0,876300,0.1644527595884003,21.926774231263884,20.2979890097042,70.64667368174909,64.13761253361393
20,2,. Planaltina,3395.0,17265700,0.1644527595884003,21.926774231263884,20.2979890097042,70.64667368174909,64.13761253361393
21,2,. Sobradinho,1613.0,7025200,0.1644527595884003,21.926774231263884,20.2979890097042,70.64667368174909,64.13761253361393
22,2,. Sobradinho II,1013.0,8083000,0.1644527595884003,21.926774231263884,20.2979890097042,70.64667368174909,64.13761253361393
23,1,. Brazlândia,177.0,5797400,0.2353887399463807,22.40329952197738,21.040130581788507,66.17243791535502,59.98705841203218
24,1,. Ceilândia,1640.0,40593200,0.2353887399463807,22.40329952197738,21.040130581788507,66.17243791535502,59.98705841203218
25,3,. Águas Claras,388.0,9892800,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
26,4,. Recanto Das Emas,404.0,12361500,0.1641511588080831,22.786927731476197,21.087121817559083,66.72382692088138,59.72485443543784
27,4,. Samambaia,1152.0,20123000,0.1641511588080831,22.786927731476197,21.087121817559083,66.72382692088138,59.72485443543784
28,3,. Taguatinga,703.0,20570200,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
29,3,. Vicente Pires,495.0,6106600,0.2309852722913574,21.960477332419774,20.518328194587188,68.76042023524037,62.28982528263104
30,4,. Gama,244.0,13454900,0.1641511588080831,22.786927731476197,21.087121817559083,66.72382692088138,59.72485443543784
31,4,. Santa Maria,223.0,11969100,0.1641511588080831,22.786927731476197,21.087121817559083,66.72382692088138,59.72485443543784
32,7,Angra dos Reis,104.0,16743400,0.1823494156427929,23.98344522429051,22.825450106805004,83.54882514494965,77.18294171498322
33,8,Rio de janeiro,1255.0,621122300,0.1356245718200502,23.500365463682048,22.49159433531293,81.431083704465,76.84229759049903
34,6,Campos de Goytacazes,94.0,4835400,0.1357004224226509,23.8496460379082,22.696289107102075,79.78830783283854,74.8698332952729
35,9,Valença,91.0,6808800,0.1424965580541533,21.92920587560248,20.723858159283918,79.88122561395456,74.64218498967179
