COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,População Normalizada,casos_normalizados_cem_mil,casos_normalizados,PRECIPITAÇÃO NORMALIZADA,TEMP MAX NORMALIZADA,TEMP MIN NORMALIZADA,UMIDADE MAX NORMALIZADA,UMIDADE MIN NORMALIZADA
1,3,. Cruzeiro,570.0,3151400,0.0676285435384584,18.08719933997589,0.0490733489950404,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
2,3,. Lago Norte,702.0,3582100,0.0783537860828336,19.597442840791715,0.0605586008874967,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
3,3,. Lago Sul,529.0,2937700,0.0623070103791063,18.007284610409506,0.0455059601496563,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
4,3,. Plano Piloto,1896.0,20618300,0.5025873060143037,9.19571448664536,0.1644479248238058,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
5,3,. Sudoeste Octogonal,239.0,5003300,0.1137443472717493,4.776847280794676,0.020273209779866,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
6,3,. Varjão,203.0,879300,0.0110489670697452,23.08654611622882,0.0171408683546506,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
7,3,. Candangolândia,263.0,1601900,0.0290430703030061,16.41800362070042,0.0223614373966762,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
8,3,. Estrutural,671.0,3068700,0.0655691575193736,21.86593671587317,0.0578613068824501,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
9,3,. Guará,2296.0,10784700,0.2577121142697771,21.289419269891606,0.1992517184373096,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
10,3,. Núcleo Bandeirante,300.0,2313400,0.0467607625953742,12.96792599636898,0.0255807883059253,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
11,3,. Park Way,193.0,2034500,0.0398156264318584,9.48636028508233,0.016270773514313,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
12,4,. Riacho Fundo I,561.0,3529100,0.0770339860947865,15.896404182369444,0.0482902636387366,0.2841610582055117,0.2977832236140203,0.2204482406154707,0.0153342704844459,0.0
13,4,. Riacho Fundo II,848.0,3710800,0.081558658883997,22.852215155761563,0.0732619855564256,0.2841610582055117,0.2977832236140203,0.2204482406154707,0.0153342704844459,0.0
14,3,. SIA,11.0,435600,0.0,2.525252525252525,0.0004350474201687,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
15,5,. Jardim Botânico,503.0,3586500,0.0784633543837281,14.024815279520425,0.0432437135647785,0.1360964500517404,0.1155729845050804,0.1239054983779631,0.2485690007078261,0.233413231179579
16,5,. Itapoã,779.0,5208900,0.1188641751499093,14.955172877190964,0.0672583311580962,0.1360964500517404,0.1155729845050804,0.1239054983779631,0.2485690007078261,0.233413231179579
17,5,. Paranoá,1849.0,4828100,0.1093815367452238,38.29663842919575,0.1603584790742191,0.1360964500517404,0.1155729845050804,0.1239054983779631,0.2485690007078261,0.233413231179579
18,5,. São Sebastião,3417.0,7457000,0.1748461063410163,45.82271691028564,0.2967893500391542,0.1360964500517404,0.1155729845050804,0.1239054983779631,0.2485690007078261,0.233413231179579
19,2,. Fercal,140.0,876300,0.0109742614100444,15.976263836585645,0.0116592708605237,0.2480808045939715,0.0137279739842675,0.0017024048443388,0.2166073439049376,0.1977402970681954
20,2,. Planaltina,4359.0,17265700,0.4191012411100265,25.24658716414625,0.3787522839989559,0.2480808045939715,0.0137279739842675,0.0017024048443388,0.2166073439049376,0.1977402970681954
21,2,. Sobradinho,3021.0,7025200,0.1640934717214176,43.00233445311166,0.2623335943617854,0.2480808045939715,0.0137279739842675,0.0017024048443388,0.2166073439049376,0.1977402970681954
22,2,. Sobradinho II,2337.0,8083000,0.1904346873319122,28.912532475566003,0.2028191072826938,0.2480808045939715,0.0137279739842675,0.0017024048443388,0.2166073439049376,0.1977402970681954
23,1,. Brazlândia,1680.0,5797400,0.1335189353945454,28.978507606858248,0.1456538762725137,0.3170204645229156,0.15574061060534,0.1906794769961462,0.0,0.0220665115722358
24,1,. Ceilândia,11499.0,40593200,1.0,28.32740458993132,1.0,0.3170204645229156,0.15574061060534,0.1906794769961462,0.0,0.0220665115722358
25,3,. Águas Claras,1560.0,9892800,0.2355021216407355,15.76904415332363,0.1352127381884625,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
26,4,. Recanto Das Emas,2260.0,12361500,0.2969774090085065,18.282570885410347,0.1961193770120943,0.2841610582055117,0.2977832236140203,0.2204482406154707,0.0153342704844459,0.0
27,4,. Samambaia,6575.0,20123000,0.490253401597705,32.674054564428765,0.5715653006177673,0.2841610582055117,0.2977832236140203,0.2204482406154707,0.0153342704844459,0.0
28,3,. Taguatinga,4483.0,20570200,0.5013895252704345,21.793662677076547,0.3895414600191421,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
29,3,. Vicente Pires,2491.0,6106600,0.1412185987210391,40.7919300429044,0.2162185678238928,0.2746752195112138,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
30,4,. Gama,1087.0,13454900,0.3242051317807837,8.078841165671985,0.0940572522404942,0.2841610582055117,0.2977832236140203,0.2204482406154707,0.0153342704844459,0.0
31,4,. Santa Maria,740.0,11969100,0.2872059087196446,6.182586827748118,0.0638649612807796,0.2841610582055117,0.2977832236140203,0.2204482406154707,0.0153342704844459,0.0
32,7,Angra dos Reis,504.0,16743400,0.4060949857561209,3.0101413094114697,0.0433307230488123,1.0,0.4218047573332659,0.5261768357248615,0.9128337061535025,0.9055146801479812
34,6,Campos de Goytacazes,1142.0,4835400,0.1095633205171623,23.617487694916655,0.0988427738623509,0.2265656156117516,0.7354452625666047,0.7373230897816322,0.6324458510464804,0.6595990470098351
