COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,População Normalizada,casos_normalizados,PRECIPITAÇÃO NORMALIZADA,TEMP MAX NORMALIZADA,TEMP MIN NORMALIZADA,UMIDADE MAX NORMALIZADA,UMIDADE MIN NORMALIZADA
1,3,. Cruzeiro,92.0,3151400,0.0043754763876848,2.9193374373294407,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
2,3,. Lago Norte,299.0,3582100,0.0050693852470175,8.347058987744619,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
3,3,. Lago Sul,127.0,2937700,0.0040311803040084,4.323109915920618,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
4,3,. Plano Piloto,607.0,20618300,0.0325167270379726,2.9439866526338254,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
5,3,. Sudoeste Octogonal,91.0,5003300,0.0073591072597495,1.8187995922691025,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
6,3,. Varjão,42.0,879300,0.0007148534034964,4.776526782668032,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
7,3,. Candangolândia,43.0,1601900,0.0018790478352444,2.6843123790498784,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
8,3,. Estrutural,188.0,3068700,0.0042422368644277,6.126372731123928,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
9,3,. Guará,481.0,10784700,0.0166736293850021,4.460022068300463,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
10,3,. Núcleo Bandeirante,88.0,2313400,0.003025358848514,3.803924958934901,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
11,3,. Park Way,37.0,2034500,0.0025760178202626,1.8186286556893587,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
12,4,. Riacho Fundo I,112.0,3529100,0.0049839959515807,3.173613669207447,0.1310318461730075,0.2595262586654516,0.2095499074348224,0.10660108699612,0.0820266490140635
13,4,. Riacho Fundo II,109.0,3710800,0.0052767362342386,2.937371995257088,0.1310318461730075,0.2595262586654516,0.2095499074348224,0.10660108699612,0.0820266490140635
14,3,. SIA,12.0,435600,0.0,2.7548209366391188,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
15,5,. Jardim Botânico,172.0,3586500,0.0050764741696575,4.79576188484595,0.1881924713417398,0.1422319020855947,0.1531716777484055,0.327382768765122,0.2967351242629128
16,5,. Itapoã,456.0,5208900,0.0076903532812931,8.75424753786788,0.1881924713417398,0.1422319020855947,0.1531716777484055,0.327382768765122,0.2967351242629128
17,5,. Paranoá,705.0,4828100,0.0070768392491735,14.602017356724176,0.1881924713417398,0.1422319020855947,0.1531716777484055,0.327382768765122,0.2967351242629128
18,5,. São Sebastião,1063.0,7457000,0.0113123094147176,14.25506235751643,0.1881924713417398,0.1422319020855947,0.1531716777484055,0.327382768765122,0.2967351242629128
19,2,. Fercal,61.0,876300,0.000710020047151,6.961086385940888,0.1315751055744703,0.0,0.0,0.2780695623695876,0.2635969956438259
20,2,. Planaltina,3395.0,17265700,0.0271152902100206,19.66326300121049,0.1315751055744703,0.0,0.0,0.2780695623695876,0.2635969956438259
21,2,. Sobradinho,1613.0,7025200,0.0106166283247248,22.96020042134032,0.1315751055744703,0.0,0.0,0.2780695623695876,0.2635969956438259
22,2,. Sobradinho II,1013.0,8083000,0.012320869772141,12.532475566002722,0.1315751055744703,0.0,0.0,0.2780695623695876,0.2635969956438259
23,1,. Brazlândia,177.0,5797400,0.0086384966843981,3.0530927657225653,0.2593487744320886,0.1437776232123854,0.197071641409184,0.0824997550097581,0.0928154722077965
24,1,. Ceilândia,1640.0,40593200,0.0646986635930816,4.040085531566863,0.2593487744320886,0.1437776232123854,0.197071641409184,0.0824997550097581,0.0928154722077965
25,3,. Águas Claras,388.0,9892800,0.0152366725434909,3.922044315057416,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
26,4,. Recanto Das Emas,404.0,12361500,0.0192140414801863,3.268211786595478,0.1310318461730075,0.2595262586654516,0.2095499074348224,0.10660108699612,0.0820266490140635
27,4,. Samambaia,1152.0,20123000,0.0317187399053338,5.724792525965314,0.1310318461730075,0.2595262586654516,0.2095499074348224,0.10660108699612,0.0820266490140635
28,3,. Taguatinga,703.0,20570200,0.0324392322245667,3.417565215700382,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
29,3,. Vicente Pires,495.0,6106600,0.0091366546117389,8.105983689778272,0.2514170137777808,0.0101689288554338,0.0585098672072763,0.1956210186570984,0.1875666843975123
30,4,. Gama,244.0,13454900,0.0209756387562356,1.8134657262409977,0.1310318461730075,0.2595262586654516,0.2095499074348224,0.10660108699612,0.0820266490140635
31,4,. Santa Maria,223.0,11969100,0.0185818384701976,1.86313089538896,0.1310318461730075,0.2595262586654516,0.2095499074348224,0.10660108699612,0.0820266490140635
32,7,Angra dos Reis,104.0,16743400,0.0262738028702725,0.6211402701960176,0.1638115163890195,0.6205405523481685,0.6711534911117061,0.8420253769329891,0.8003689846498853
33,8,Rio de janeiro,1255.0,621122300,1.0,0.2020536052239631,0.079648237163128,0.4747853088052772,0.5824999142785265,0.7494584432313034,0.7863526097696147
