COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,Média de Precipitação,Média de Temperatura Máxima,Média de Temperatura Mínima,Média de Umidade Relativa Máxima,Média de Umidade Relativa Mínima
1,3,. Cruzeiro,359.0,3151400,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
2,3,. Lago Norte,512.0,3582100,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
3,3,. Lago Sul,460.0,2937700,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
4,3,. Plano Piloto,2008.0,20618300,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
5,3,. Sudoeste Octogonal,179.0,5003300,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
6,3,. Varjão,126.0,879300,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
7,3,. Candangolândia,261.0,1601900,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
8,3,. Estrutural,237.0,3068700,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
9,3,. Guará,2887.0,10784700,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
10,3,. Núcleo Bandeirante,251.0,2313400,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
11,3,. Park Way,202.0,2034500,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
12,4,. Riacho Fundo I,568.0,3529100,0.2237358101135191,22.89424311926605,21.243337155963303,68.51995412844036,61.528899082568806
13,4,. Riacho Fundo II,515.0,3710800,0.2237358101135191,22.89424311926605,21.243337155963303,68.51995412844036,61.528899082568806
14,3,. SIA,14.0,435600,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
15,5,. Jardim Botânico,443.0,3586500,0.2533457249070632,22.3121511627907,20.85291860465116,75.50235294117647,68.71364705882353
16,5,. Itapoã,568.0,5208900,0.2533457249070632,22.3121511627907,20.85291860465116,75.50235294117647,68.71364705882353
17,5,. Paranoá,656.0,4828100,0.2533457249070632,22.3121511627907,20.85291860465116,75.50235294117647,68.71364705882353
18,5,. São Sebastião,2736.0,7457000,0.2533457249070632,22.3121511627907,20.85291860465116,75.50235294117647,68.71364705882353
19,2,. Fercal,257.0,876300,0.1830390334572491,22.03056459107807,20.471189591078065,73.05506505576209,66.69272769516729
20,2,. Planaltina,2577.0,17265700,0.1830390334572491,22.03056459107807,20.471189591078065,73.05506505576209,66.69272769516729
21,2,. Sobradinho,2570.0,7025200,0.1830390334572491,22.03056459107807,20.471189591078065,73.05506505576209,66.69272769516729
22,2,. Sobradinho II,2735.0,8083000,0.1830390334572491,22.03056459107807,20.471189591078065,73.05506505576209,66.69272769516729
23,1,. Brazlândia,648.0,5797400,0.2430679837303893,22.401256252180996,21.04485285564732,68.11922763754798,61.91438874025823
24,1,. Ceilândia,5249.0,40593200,0.2430679837303893,22.401256252180996,21.04485285564732,68.11922763754798,61.91438874025823
25,3,. Águas Claras,1190.0,9892800,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
26,4,. Recanto Das Emas,1384.0,12361500,0.2237358101135191,22.89424311926605,21.243337155963303,68.51995412844036,61.528899082568806
27,4,. Samambaia,3422.0,20123000,0.2237358101135191,22.89424311926605,21.243337155963303,68.51995412844036,61.528899082568806
28,3,. Taguatinga,3425.0,20570200,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
29,3,. Vicente Pires,1986.0,6106600,0.1794854280510018,22.05404143897996,20.68283242258652,70.12238160291439,64.05260161675965
30,4,. Gama,4735.0,13454900,0.2237358101135191,22.89424311926605,21.243337155963303,68.51995412844036,61.528899082568806
31,4,. Santa Maria,3814.0,11969100,0.2237358101135191,22.89424311926605,21.243337155963303,68.51995412844036,61.528899082568806
32,7,Angra dos Reis,187.0,16743400,0.3216186656944951,24.97185563251914,24.00579657309515,87.16296026248632,82.03463361283266
33,8,Rio de janeiro,1536.0,621122300,0.1454064454064454,24.035892191072072,23.080086632174226,80.50451209240765,76.00794128263747
34,6,Campos de Goytacazes,18.0,4835400,0.146903460837887,24.226673497267765,23.14345400728597,79.58139799635701,74.80760473588343
35,9,Valença,104.0,6808800,0.6465753424657535,25.24109589041096,24.06383561643836,83.55890410958904,78.34246575342466
