COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,Média de Precipitação,Média de Temperatura Máxima,Média de Temperatura Mínima,Média de Umidade Relativa Máxima,Média de Umidade Relativa Mínima
1,3,. Cruzeiro,278.0,3151400,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
2,3,. Lago Norte,422.0,3582100,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
3,3,. Lago Sul,300.0,2937700,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
4,3,. Plano Piloto,1658.0,20618300,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
5,3,. Sudoeste Octogonal,220.0,5003300,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
6,3,. Varjão,662.0,879300,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
7,3,. Candangolândia,365.0,1601900,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
8,3,. Estrutural,563.0,3068700,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
9,3,. Guará,1828.0,10784700,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
10,3,. Núcleo Bandeirante,591.0,2313400,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
11,3,. Park Way,280.0,2034500,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
12,4,. Riacho Fundo I,834.0,3529100,0.1424591848384518,23.24292727480306,21.505708414202537,68.0324237926704,60.653841762758304
13,4,. Riacho Fundo II,384.0,3710800,0.1424591848384518,23.24292727480306,21.505708414202537,68.0324237926704,60.653841762758304
14,3,. SIA,6.0,435600,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
15,5,. Jardim Botânico,227.0,3586500,0.1361228934999427,23.05207473635947,21.487058688674924,71.2800875273523,64.21950938615686
16,5,. Itapoã,2439.0,5208900,0.1361228934999427,23.05207473635947,21.487058688674924,71.2800875273523,64.21950938615686
17,5,. Paranoá,2947.0,4828100,0.1361228934999427,23.05207473635947,21.487058688674924,71.2800875273523,64.21950938615686
18,5,. São Sebastião,3129.0,7457000,0.1361228934999427,23.05207473635947,21.487058688674924,71.2800875273523,64.21950938615686
19,2,. Fercal,519.0,876300,0.1572445464982778,22.669062105384,21.04932502596054,70.16014234875445,63.452646079669385
20,2,. Planaltina,5667.0,17265700,0.1572445464982778,22.669062105384,21.04932502596054,70.16014234875445,63.452646079669385
21,2,. Sobradinho,1781.0,7025200,0.1572445464982778,22.669062105384,21.04932502596054,70.16014234875445,63.452646079669385
22,2,. Sobradinho II,2546.0,8083000,0.1572445464982778,22.669062105384,21.04932502596054,70.16014234875445,63.452646079669385
23,1,. Brazlândia,1310.0,5797400,0.1732482571192248,23.11398345153664,21.680650118203307,64.98345153664303,58.430023640661936
24,1,. Ceilândia,4163.0,40593200,0.1732482571192248,23.11398345153664,21.680650118203307,64.98345153664303,58.430023640661936
25,3,. Águas Claras,862.0,9892800,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
26,4,. Recanto Das Emas,1995.0,12361500,0.1424591848384518,23.24292727480306,21.505708414202537,68.0324237926704,60.653841762758304
27,4,. Samambaia,2547.0,20123000,0.1424591848384518,23.24292727480306,21.505708414202537,68.0324237926704,60.653841762758304
28,3,. Taguatinga,1951.0,20570200,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
29,3,. Vicente Pires,721.0,6106600,0.1566102470265324,22.70882891125343,21.24728956999085,67.24565416285454,60.94063822486561
30,4,. Gama,910.0,13454900,0.1424591848384518,23.24292727480306,21.505708414202537,68.0324237926704,60.653841762758304
31,4,. Santa Maria,885.0,11969100,0.1424591848384518,23.24292727480306,21.505708414202537,68.0324237926704,60.653841762758304
32,7,Angra dos Reis,1764.0,16743400,0.2772379101406196,24.19211067916762,23.157214726732217,86.13400411616739,80.71941458952664
33,8,Rio de janeiro,22046.0,621122300,0.2006394153916419,24.63562128825948,23.68507309273641,79.99414129810454,75.68213670304422
34,6,Campos de Goytacazes,177.0,4835400,0.1218949771689497,24.919456496917103,23.800742178579583,77.80315140443024,72.85042247088376
35,9,Valença,190.0,6808800,0.1010357327809425,22.90660495943321,21.70252542566564,79.67192320877614,74.29048108787568
