Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2016,0,26,"25,5",81,78
01/01/2016,0,"25,6",25,83,81
01/01/2016,0,25,"24,6",84,83
01/01/2016,0,"24,7","24,2",86,84
01/01/2016,0,"24,3","23,5",88,86
01/01/2016,0,"23,8","23,5",89,88
01/01/2016,0,"23,7","23,5",89,88
01/01/2016,0,"23,6","23,4",89,89
01/01/2016,0,"23,7","23,4",89,89
01/01/2016,0,"25,1","23,1",90,87
01/01/2016,0,"29,4","25,1",87,68
01/01/2016,0,"32,7","29,4",69,56
01/01/2016,0,"34,3","32,6",56,43
01/01/2016,0,"35,9","34,2",44,36
01/01/2016,0,"36,9","35,5",38,33
01/01/2016,0,"37,8","36,3",36,32
01/01/2016,0,"38,6",37,35,31
01/01/2016,0,"39,1","37,8",33,30
01/01/2016,0,"39,3","37,9",33,28
01/01/2016,0,"38,8","32,7",49,29
01/01/2016,0,"33,7","31,8",54,47
01/01/2016,0,"32,2","30,2",55,49
01/01/2016,0,"30,2","29,2",62,55
01/01/2016,0,"29,3","26,1",66,62
02/01/2016,0,"26,1","24,9",73,66
02/01/2016,0,26,"25,1",74,71
02/01/2016,0,"25,8","24,7",77,71
02/01/2016,0,"25,6","25,2",73,68
02/01/2016,0,"25,3","24,5",76,70
02/01/2016,0,"24,5","23,7",78,72
02/01/2016,0,"23,9","23,3",81,78
02/01/2016,0,"23,6","23,3",82,79
02/01/2016,0,"23,9","23,3",82,81
02/01/2016,0,"25,5","23,4",83,75
02/01/2016,0,"27,3","25,3",76,70
02/01/2016,0,"29,4","27,2",71,63
02/01/2016,0,"30,7",29,64,56
02/01/2016,0,"31,8","30,4",58,54
02/01/2016,0,"33,5","31,5",56,50
02/01/2016,0,"33,7","32,1",56,51
02/01/2016,0,"33,9",31,63,52
02/01/2016,0,"32,6",31,63,59
02/01/2016,0,"32,2","29,6",66,59
02/01/2016,0,"29,7","28,5",71,65
02/01/2016,0,"28,8","28,5",69,67
02/01/2016,"1,8","28,6","22,9",89,67
02/01/2016,"0,4","23,3","22,8",90,89
02/01/2016,"0,6","23,2","22,8",90,90
03/01/2016,"0,8","23,2","22,8",90,90
03/01/2016,"5,2","23,3","23,1",91,90
03/01/2016,"1,2","23,5","23,2",91,91
03/01/2016,0,"23,7","23,5",91,90
03/01/2016,0,"23,6","23,5",91,91
03/01/2016,0,"23,7","23,5",91,91
03/01/2016,"0,6","23,8","23,6",92,91
03/01/2016,"0,2","23,8","23,5",92,91
03/01/2016,"0,2","23,7","23,4",92,91
03/01/2016,0,"24,1","23,6",91,91
03/01/2016,0,"24,7","24,1",91,90
03/01/2016,"0,4","24,8","24,4",90,89
03/01/2016,"1,4","24,6","24,3",91,89
03/01/2016,3,"24,7","24,1",91,90
03/01/2016,"5,6","24,5","23,9",91,90
03/01/2016,"6,6","24,5","23,8",90,89
03/01/2016,"12,8","23,8","23,3",92,90
03/01/2016,"12,8","23,8","23,2",92,91
03/01/2016,"2,2","23,9","23,2",92,89
03/01/2016,"0,8","24,4","23,6",90,86
03/01/2016,"0,2","24,4",24,88,84
03/01/2016,0,"24,2",24,86,85
03/01/2016,"0,6",24,"23,4",90,86
03/01/2016,"0,8","23,7","23,4",90,90
04/01/2016,0,"23,9","23,6",90,90
04/01/2016,0,"24,1","23,7",90,88
04/01/2016,0,"24,1",24,88,86
04/01/2016,0,"24,1",24,86,84
04/01/2016,0,24,"23,8",84,83
04/01/2016,0,"23,9","22,8",86,81
04/01/2016,0,"22,8","22,1",89,86
04/01/2016,0,"22,7","22,2",89,87
04/01/2016,0,"22,7","22,1",88,87
04/01/2016,0,"22,7","21,9",89,88
04/01/2016,0,24,"22,7",89,82
04/01/2016,0,"25,8","23,8",83,70
04/01/2016,0,27,"25,8",70,62
04/01/2016,0,"27,5","26,1",68,59
04/01/2016,0,"28,7","26,8",59,47
04/01/2016,0,"29,1","27,3",54,49
04/01/2016,"0,2","27,5","24,5",71,51
04/01/2016,"0,4","27,5","23,9",77,56
04/01/2016,0,"27,6","26,6",60,54
04/01/2016,0,"27,1","26,5",59,44
04/01/2016,0,"26,9","26,2",54,46
04/01/2016,0,"26,4","25,5",61,54
04/01/2016,0,"25,6",25,62,59
04/01/2016,0,"25,1","24,7",67,61
05/01/2016,0,"24,8","22,8",79,66
05/01/2016,0,23,"22,3",81,78
05/01/2016,0,"22,9","22,1",82,79
05/01/2016,0,"22,4","20,9",86,80
05/01/2016,0,"21,1","20,6",87,86
05/01/2016,0,"21,3","20,3",88,85
05/01/2016,0,22,"21,2",85,80
05/01/2016,0,"21,2","20,2",87,83
05/01/2016,0,"20,2","19,7",88,87
05/01/2016,0,"21,7","19,7",88,83
05/01/2016,0,"23,1","21,4",85,78
05/01/2016,0,"25,7","23,1",78,66
05/01/2016,0,27,"25,4",68,61
05/01/2016,0,"27,8","26,4",63,54
05/01/2016,0,"27,7","26,9",61,54
05/01/2016,0,28,"27,1",62,56
05/01/2016,0,"28,3","27,4",62,54
05/01/2016,0,"27,5","25,3",74,60
05/01/2016,0,"26,4","25,5",70,63
05/01/2016,0,"26,3","25,2",71,66
05/01/2016,0,"25,3","24,5",73,68
05/01/2016,0,"24,5","23,3",80,72
05/01/2016,0,"23,4","22,5",85,77
05/01/2016,0,"23,6","22,9",80,74
06/01/2016,0,"23,2","22,6",85,79
06/01/2016,0,"22,6","22,2",85,84
06/01/2016,0,"22,7","22,3",85,83
06/01/2016,0,"23,2","22,6",84,80
06/01/2016,0,"22,9","22,2",81,78
06/01/2016,0,"22,2","21,5",87,81
06/01/2016,0,"21,6","21,4",88,87
06/01/2016,"0,4","21,6","21,1",89,87
06/01/2016,0,"21,3","21,1",89,89
06/01/2016,0,"21,7","21,2",90,89
06/01/2016,0,"23,5","21,7",90,80
06/01/2016,0,"25,4","23,3",82,71
06/01/2016,0,27,"25,3",74,63
06/01/2016,0,"28,6",27,65,53
06/01/2016,0,"29,8","27,6",60,48
06/01/2016,0,"30,1","28,1",56,46
06/01/2016,0,31,"29,4",51,43
06/01/2016,0,"31,7","29,3",49,38
06/01/2016,"0,2","31,4","28,6",54,43
06/01/2016,0,"30,4","28,5",53,47
06/01/2016,0,"28,8","27,5",58,52
06/01/2016,0,"27,7","26,3",66,57
06/01/2016,0,"26,3","24,8",74,66
06/01/2016,0,"24,9","24,2",79,74
07/01/2016,0,"24,5","24,2",80,79
07/01/2016,0,"24,3","23,7",83,80
07/01/2016,0,"23,8","23,1",86,83
07/01/2016,0,"23,3",23,87,86
07/01/2016,0,23,"22,6",88,86
07/01/2016,0,"22,7","22,3",89,88
07/01/2016,0,"22,5","22,2",90,89
07/01/2016,0,"22,2","21,6",91,90
07/01/2016,0,"21,6","21,4",91,91
07/01/2016,0,"22,3","21,3",92,91
07/01/2016,0,"24,7","22,3",92,85
07/01/2016,0,"27,2","24,6",85,69
07/01/2016,0,"28,4","26,7",72,63
07/01/2016,0,"29,6","27,4",67,57
07/01/2016,0,"30,7","28,8",60,52
07/01/2016,0,"31,6","30,2",54,48
07/01/2016,0,"32,5","30,9",51,44
07/01/2016,0,"33,3","32,1",48,42
07/01/2016,0,"33,3","31,8",53,42
07/01/2016,0,"31,9","29,8",57,51
07/01/2016,0,30,"28,6",60,55
07/01/2016,0,"28,6","26,8",69,57
07/01/2016,0,"26,8","25,2",80,69
07/01/2016,0,"25,4","24,8",83,80
08/01/2016,0,"25,2","24,8",85,83
08/01/2016,0,"24,9","24,5",85,84
08/01/2016,0,"24,6","24,3",86,85
08/01/2016,0,"24,8","24,5",86,85
08/01/2016,0,"24,9","24,5",85,85
08/01/2016,0,"24,6","23,4",88,85
08/01/2016,0,"23,4","23,1",89,88
08/01/2016,0,"23,5","22,7",90,88
08/01/2016,0,"23,1","22,3",89,89
08/01/2016,0,"23,1",22,91,89
08/01/2016,0,"25,7","23,1",91,84
08/01/2016,0,"27,7","25,5",84,74
08/01/2016,0,30,"27,5",75,64
08/01/2016,0,"31,6","29,7",65,58
08/01/2016,0,"33,2","31,4",60,53
08/01/2016,0,"34,3","32,8",54,44
08/01/2016,0,35,"33,8",47,42
08/01/2016,0,"35,4","33,5",50,40
08/01/2016,0,"33,8","32,3",53,46
08/01/2016,0,"32,8","31,3",59,50
08/01/2016,0,"31,6","29,8",65,56
08/01/2016,0,30,"28,1",68,63
08/01/2016,0,"28,1","26,7",73,68
08/01/2016,0,"26,8","26,2",79,73
09/01/2016,0,"26,3","25,8",82,79
09/01/2016,0,"25,8","25,4",84,82
09/01/2016,0,"25,4","24,9",86,84
09/01/2016,0,25,"24,4",88,86
09/01/2016,0,"24,6",24,88,87
09/01/2016,0,24,"23,7",89,88
09/01/2016,0,"23,9","23,2",90,89
09/01/2016,0,"23,6","23,2",90,88
09/01/2016,0,"23,6","23,1",89,88
09/01/2016,0,"24,2","22,9",90,87
09/01/2016,0,"26,7","24,2",87,77
09/01/2016,0,"29,3","26,6",77,66
09/01/2016,0,"31,2","29,1",68,59
09/01/2016,0,"33,1","30,8",60,51
09/01/2016,0,"33,7","32,2",53,48
09/01/2016,0,"34,3","32,2",55,46
09/01/2016,0,"33,4","31,9",55,50
09/01/2016,0,"33,2",32,53,49
09/01/2016,0,"33,1","30,9",58,49
09/01/2016,0,"30,9","29,4",64,58
09/01/2016,0,"29,6","28,3",69,63
09/01/2016,0,"28,3",27,75,69
09/01/2016,0,27,"26,4",76,74
09/01/2016,0,"26,5","26,3",79,76
10/01/2016,0,"26,5","26,3",78,77
10/01/2016,0,"26,4","26,1",79,77
10/01/2016,0,"26,1","25,9",80,79
10/01/2016,0,"25,9","25,7",80,79
10/01/2016,0,"25,9","25,5",79,78
10/01/2016,0,"25,6","25,1",80,78
10/01/2016,0,"25,2","24,8",80,79
10/01/2016,0,"24,9","24,6",80,79
10/01/2016,0,"24,7","23,9",83,80
10/01/2016,0,"24,9","23,7",84,81
10/01/2016,0,"26,3","24,9",81,73
10/01/2016,0,28,"26,3",73,68
10/01/2016,0,"29,2","27,9",68,62
10/01/2016,0,"30,5","29,1",64,57
10/01/2016,0,31,"29,7",64,56
10/01/2016,0,"31,4","29,9",61,56
10/01/2016,0,"32,7","30,6",59,51
10/01/2016,0,32,"30,8",57,52
10/01/2016,0,"31,9","30,9",55,51
10/01/2016,0,"31,1","29,7",59,52
10/01/2016,0,"30,3","28,5",64,57
10/01/2016,0,"28,7","27,1",67,63
10/01/2016,0,"27,1","25,9",75,67
10/01/2016,0,26,"25,8",78,75
11/01/2016,0,"25,8","25,3",83,77
11/01/2016,0,"25,6","25,3",83,81
11/01/2016,0,"25,6","25,3",82,81
11/01/2016,0,"25,3","24,8",83,81
11/01/2016,0,"25,1","24,8",83,80
11/01/2016,0,"25,2","24,6",81,78
11/01/2016,0,"25,2","24,2",82,78
11/01/2016,0,"24,4","23,7",84,82
11/01/2016,0,"23,7","23,1",87,84
11/01/2016,0,24,"23,3",86,85
11/01/2016,0,27,24,85,72
11/01/2016,0,"28,9",27,72,65
11/01/2016,0,"30,6","28,9",66,57
11/01/2016,0,"32,9","30,3",58,48
11/01/2016,0,"33,6","31,6",51,46
11/01/2016,0,"34,7","31,8",52,42
11/01/2016,0,"34,3","32,3",54,43
11/01/2016,0,33,"31,9",56,52
11/01/2016,0,"32,9","31,6",58,51
11/01/2016,0,"31,6","29,5",65,55
11/01/2016,0,"29,5",28,71,65
11/01/2016,0,28,"27,4",72,71
11/01/2016,0,"27,4","26,8",74,72
11/01/2016,0,"26,8","26,1",78,73
12/01/2016,0,"26,2","25,9",80,78
12/01/2016,0,26,"25,6",82,80
12/01/2016,0,"25,6","25,2",84,82
12/01/2016,0,"25,2","24,8",86,84
12/01/2016,0,25,"24,8",86,85
12/01/2016,0,"25,1","24,8",86,85
12/01/2016,0,"24,9","24,7",89,86
12/01/2016,0,25,"24,4",89,88
12/01/2016,0,"24,5","24,4",90,89
12/01/2016,0,"24,7","24,4",91,90
12/01/2016,"0,4","25,5","24,7",91,90
12/01/2016,"0,2","26,3","25,5",90,89
12/01/2016,"0,2","26,6","26,1",89,87
12/01/2016,"0,6","26,6","26,2",88,87
12/01/2016,"1,6","26,4","25,5",88,85
12/01/2016,"0,2","28,5","25,7",86,78
12/01/2016,0,"28,8","27,9",79,74
12/01/2016,0,"29,5","28,5",77,67
12/01/2016,0,29,"28,2",71,67
12/01/2016,0,"28,9","28,2",70,64
12/01/2016,0,"28,9","28,6",71,67
12/01/2016,0,"28,7","27,8",76,71
12/01/2016,0,"27,8","27,1",78,76
12/01/2016,0,"27,5","27,1",78,74
13/01/2016,0,"27,1","26,5",81,77
13/01/2016,0,"27,1","26,2",80,70
13/01/2016,0,"27,2","26,7",70,66
13/01/2016,0,"26,9","25,2",79,67
13/01/2016,0,"25,3","25,1",80,79
13/01/2016,0,"25,2","24,9",82,80
13/01/2016,0,"25,1","24,8",82,80
13/01/2016,0,25,"24,6",83,81
13/01/2016,0,"24,6","24,4",85,83
13/01/2016,0,"25,4","24,3",86,84
13/01/2016,0,"26,7","25,4",85,77
13/01/2016,0,"28,6","26,6",78,69
13/01/2016,0,"30,5","28,3",71,61
13/01/2016,0,"30,7","29,6",65,61
13/01/2016,0,32,"30,4",63,53
13/01/2016,0,"32,4","31,1",59,54
13/01/2016,0,"33,3","31,4",58,49
13/01/2016,0,"34,3","32,8",51,46
13/01/2016,0,"34,3","31,6",57,45
13/01/2016,0,"33,1","31,6",55,51
13/01/2016,0,"32,2","29,6",63,52
13/01/2016,0,"29,6","29,2",66,62
13/01/2016,0,"29,2","28,3",69,64
13/01/2016,0,"28,4","26,4",79,69
14/01/2016,0,"26,4",26,81,79
14/01/2016,0,26,"25,5",84,81
14/01/2016,0,"25,9","25,6",84,83
14/01/2016,0,"25,7","25,5",85,84
14/01/2016,0,"25,6","25,5",87,85
14/01/2016,0,"25,6","25,1",89,87
14/01/2016,0,"25,3","24,7",89,88
14/01/2016,0,"25,1","24,5",89,88
14/01/2016,0,"24,7","24,2",90,89
14/01/2016,0,"26,3","24,3",90,88
14/01/2016,0,29,"26,2",88,74
14/01/2016,0,"31,2","29,1",74,59
14/01/2016,0,"32,7","30,9",61,50
14/01/2016,0,"33,1","32,1",53,48
14/01/2016,0,"33,9","32,8",53,47
14/01/2016,0,35,"33,5",50,45
14/01/2016,0,"35,1","33,7",50,46
14/01/2016,0,"33,8","32,3",56,49
14/01/2016,0,"33,1","32,1",55,49
14/01/2016,0,"32,3","31,4",60,54
14/01/2016,0,"31,6","30,3",63,57
14/01/2016,0,"30,3","27,8",71,63
14/01/2016,0,"27,8","26,5",77,70
14/01/2016,0,"26,6",26,81,77
15/01/2016,0,"26,6","25,9",81,78
15/01/2016,0,"25,9","25,6",84,81
15/01/2016,0,"25,8",25,87,84
15/01/2016,0,"25,1","24,7",88,87
15/01/2016,0,"24,8",24,90,88
15/01/2016,0,"24,8","24,3",90,90
15/01/2016,0,25,"24,6",90,90
15/01/2016,0,25,"24,8",90,90
15/01/2016,0,"24,8","24,4",91,90
15/01/2016,0,"24,7","24,3",91,91
15/01/2016,0,"26,2","24,7",91,88
15/01/2016,0,"27,6","26,2",88,81
15/01/2016,0,"28,9","27,5",82,72
15/01/2016,0,"29,2","28,2",74,70
15/01/2016,0,30,"28,9",72,67
15/01/2016,0,"32,5",30,68,56
15/01/2016,0,"32,6","31,8",60,53
15/01/2016,0,"32,5","31,8",58,53
15/01/2016,0,"34,7","32,5",55,45
15/01/2016,0,"32,9","31,9",54,47
15/01/2016,0,"31,9","27,1",77,48
15/01/2016,"1,8","27,1","25,5",87,77
15/01/2016,"1,4","25,5","25,3",88,87
15/01/2016,"0,4","25,3","25,1",89,88
16/01/2016,"0,2","25,3","25,2",89,89
16/01/2016,"0,2","25,3","25,2",90,89
16/01/2016,"0,4","25,3","24,9",90,90
16/01/2016,"0,4","24,9","24,7",90,90
16/01/2016,"0,4","24,7","24,6",91,90
16/01/2016,"0,4","24,7","24,6",91,91
16/01/2016,"0,2","24,6","24,4",91,91
16/01/2016,0,"24,4","24,2",91,91
16/01/2016,0,"24,4","24,2",91,91
16/01/2016,0,"24,8","24,4",91,90
16/01/2016,0,"26,2","24,8",90,88
16/01/2016,0,"27,3","26,2",88,81
16/01/2016,0,"27,7","27,1",82,77
16/01/2016,0,"28,5","27,7",78,71
16/01/2016,0,29,"28,2",74,68
16/01/2016,0,29,"28,4",76,66
16/01/2016,"29,2","28,4","24,8",90,76
16/01/2016,0,26,25,90,84
