Semana epidemiológica dos sintomas,Casos notificados
1,5
2,10
3,8
4,4
5,9
6,4
7,6
8,7
9,12
10,8
11,14
12,25
13,50
14,134
15,127
16,171
17,219
18,189
19,160
20,175
21,101
22,71
23,50
24,38
25,33
26,27
27,25
28,12
29,11
30,11
31,12
32,8
33,6
34,3
35,4
36,1
37,3
38,2
42,2
43,2
45,1
46,1
51,1
52,2
Total,1764
