Semana epidemiológica dos sintomas,Casos notificados
1,3
2,2
3,2
4,2
5,1
6,2
7,5
8,4
9,1
10,5
11,5
12,6
13,12
14,37
15,38
16,8
17,2
18,7
19,5
20,3
21,1
22,5
23,2
24,5
25,2
26,1
28,3
31,1
35,1
37,1
38,1
43,1
49,1
51,1
52,1
Total,177
