Semana epidemiológica dos sintomas,Casos notificados
1,1
2,1
4,1
5,1
6,2
7,3
8,2
9,4
10,2
11,1
12,4
13,2
14,1
15,1
16,3
17,3
19,3
20,6
21,7
23,3
24,1
25,4
27,1
29,2
30,1
31,2
32,1
33,2
34,3
35,2
36,2
37,4
38,2
39,2
40,2
42,1
44,1
46,3
47,1
48,1
49,1
51,1
Total,91
