Semana epidemiológica dos sintomas,Casos notificados
1,77
2,88
3,78
4,106
5,142
6,170
7,145
8,192
9,280
10,370
11,476
12,334
13,272
14,354
15,379
16,241
17,249
18,237
19,209
20,177
21,197
22,138
23,172
24,204
25,203
26,170
27,156
28,97
29,97
30,97
31,71
32,78
33,84
34,77
35,46
36,63
37,83
38,75
39,63
40,80
41,77
42,120
43,93
44,103
45,113
46,100
47,167
48,142
49,142
50,167
51,132
52,117
Total,8300
