Semana epidemiológica dos sintomas,Casos notificados
1,22
2,31
3,41
4,37
5,39
6,45
7,51
8,51
9,34
10,53
11,68
12,83
13,82
14,129
15,125
16,75
17,91
18,78
19,45
20,44
21,24
22,21
23,36
24,5
25,6
26,0
27,3
28,4
29,1
30,9
31,3
32,4
33,8
34,7
35,8
36,1
37,2
38,1
39,1
40,0
41,2
42,2
43,1
44,0
45,1
46,1
47,3
48,3
49,4
50,4
51,4
52,6
