Semana epidemiológica dos sintomas,Casos notificados
1,181
2,205
3,219
4,279
5,229
6,229
7,215
8,113
9,122
10,132
11,152
12,130
13,123
14,128
15,86
16,83
17,87
18,96
19,80
20,50
21,34
22,52
23,45
24,33
25,34
26,27
27,30
28,28
29,36
30,29
31,39
32,24
33,27
34,36
35,31
36,27
37,31
38,51
39,32
40,55
41,52
42,55
43,50
44,37
45,57
46,53
47,48
48,58
49,78
50,61
51,55
52,55
