COD_REG,Arquivo,Mínimo de Precipitação,Máximo de Precipitação,Mínimo de Temperatura Máxima,Máximo de Temperatura Máxima,Mínimo de Temperatura Mínima,Máximo de Temperatura Mínima,Mínimo de Umidade Relativa Máxima,Máximo de Umidade Relativa Máxima,Mínimo de Umidade Relativa Mínima,Máximo de Umidade Relativa Mínima
1,1-2023-BRAZLANDIA .csv,0.0,40.0,13.4,34.9,13.0,33.4,13.0,95.0,11.0,95.0
2,2-2023-AGUAS EMENDADA.csv,0.0,43.0,7.2,37.3,6.8,35.6,18.0,95.0,14.0,95.0
3,3-2023-BRASILIA.csv,0.0,23.4,10.7,34.6,9.4,33.0,19.0,98.0,16.0,98.0
4,4-2023-GAMA.csv,0.0,57.4,10.8,36.7,8.6,34.7,14.0,94.0,10.0,94.0
5,5-2023-PARANOA.csv,0.0,43.8,11.6,36.4,10.5,34.8,18.0,100.0,15.0,100.0
6,6-2023-CAMPOSDOSGOYTACAZES.csv,0.0,49.2,13.7,40.6,13.2,39.6,24.0,95.0,21.0,95.0
7,7-2023-ANGRADOSREIS.csv,0.0,58.8,12.8,38.6,12.4,35.5,28.0,98.0,19.0,98.0
8,8-2023-RIO DE JANEIRO.csv,0.0,64.4,16.1,38.4,15.6,37.8,13.0,100.0,11.0,100.0
9,9-2023-VALENCIA.csv,0.0,51.0,9.2,39.9,8.4,39.1,20.0,98.0,16.0,98.0
