Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.0,28.176470588235293,26.105263157894736,76.453125,70.75520833333333
2,0.0,27.714285714285715,26.31578947368421,77.51190476190476,72.07738095238095
3,0.0,26.692307692307693,26.666666666666668,78.125,72.64285714285714
4,0.018292682926829267,28.384615384615383,28.214285714285715,75.23214285714286,70.50595238095238
5,0.0,29.153846153846153,28.31578947368421,76.19642857142857,70.58928571428571
6,0.33093525179856115,25.375,24.5625,80.18452380952381,76.32142857142857
7,0.11258278145695365,26.5,24.714285714285715,79.54761904761905,74.04761904761905
8,0.006578947368421052,28.736842105263158,26.63157894736842,81.64285714285714,76.30357142857143
9,0.21641791044776118,27.428571428571427,26.363636363636363,82.61904761904762,77.61309523809524
10,0.0,28.41176470588235,27.105263157894736,81.07738095238095,75.9047619047619
11,0.07333333333333333,27.2,26.615384615384617,83.61309523809524,79.33928571428571
12,0.19736842105263158,26.25,25.727272727272727,78.73809523809524,73.58928571428571
13,0.0,25.285714285714285,24.9,78.19642857142857,73.46428571428571
14,0.0,27.454545454545453,26.466666666666665,78.56547619047619,73.86309523809524
15,0.4791666666666667,26.454545454545453,26.0,82.5952380952381,78.63095238095238
16,0.006134969325153374,26.0,25.26086956521739,75.88095238095238,70.78571428571429
17,0.0,27.904761904761905,26.933333333333334,76.77380952380952,71.94047619047619
18,0.0,26.428571428571427,25.35,81.07142857142857,77.26190476190476
19,0.0,26.210526315789473,24.333333333333332,76.39880952380952,71.52380952380952
20,0.2,24.157894736842106,23.105263157894736,85.47619047619048,82.42261904761905
21,0.0,24.833333333333332,24.176470588235293,79.7710843373494,75.9578313253012
22,0.0,23.571428571428573,23.4375,80.19047619047619,75.63095238095238
23,0.006756756756756757,21.863636363636363,21.2,77.88095238095238,72.77380952380952
24,0.0,24.444444444444443,23.333333333333332,79.98809523809524,76.55357142857143
25,0.0,23.857142857142858,22.45,76.2797619047619,72.32142857142857
26,0.0,25.5,25.0,72.04166666666667,65.76190476190476
27,0.027972027972027972,23.45,26.727272727272727,69.41071428571429,63.74404761904762
28,0.0,20.363636363636363,20.736842105263158,69.79761904761905,65.0
29,0.006211180124223602,21.142857142857142,19.952380952380953,75.22619047619048,71.02380952380952
30,0.0,22.4,22.272727272727273,78.66071428571429,75.29761904761905
31,0.014814814814814815,22.75,21.88235294117647,79.67857142857143,75.80952380952381
32,0.0,22.333333333333332,21.470588235294116,78.57142857142857,75.1547619047619
33,0.0064516129032258064,21.058823529411764,20.863636363636363,72.17857142857143,67.24404761904762
34,0.02054794520547945,20.866666666666667,19.428571428571427,82.07738095238095,79.2202380952381
35,0.0,24.0,22.2,74.51190476190476,70.39285714285714
36,0.031007751937984496,21.23076923076923,20.4,86.0,83.79761904761905
37,0.0,24.9,22.846153846153847,83.32738095238095,79.33928571428571
38,0.0,23.555555555555557,22.8125,85.96428571428571,83.17857142857143
39,0.07246376811594203,20.333333333333332,20.0,81.54761904761905,78.16666666666667
40,0.0,22.40740740740741,21.923076923076923,78.82142857142857,75.2797619047619
41,0.12413793103448276,23.61904761904762,23.0625,85.70238095238095,83.17261904761905
42,0.0,23.8,23.3125,82.36904761904762,78.70833333333333
43,0.0,22.25,22.583333333333332,79.86904761904762,76.96428571428571
44,0.0,26.764705882352942,24.608695652173914,81.21428571428571,76.27380952380952
45,0.0,23.555555555555557,23.5,87.70833333333333,84.75595238095238
46,0.0,22.272727272727273,21.41176470588235,87.07738095238095,83.67261904761905
47,0.03870967741935484,21.571428571428573,20.44,90.2797619047619,86.38095238095238
48,0.0,21.705882352941178,21.3,84.72619047619048,80.70833333333333
49,0.012578616352201259,22.928571428571427,22.166666666666668,86.07042253521126,80.90140845070422
50,0.01910828025477707,23.727272727272727,22.58823529411765,87.9645390070922,83.75886524822695
51,0.018404907975460124,27.526315789473685,25.636363636363637,77.71428571428571,71.875
52,0.032467532467532464,25.2,23.75,83.89880952380952,79.88095238095238
