Semana epidemiológica dos sintomas,Casos notificados
1,9
2,9
3,15
4,27
5,19
6,18
7,20
8,30
9,21
10,29
11,40
12,38
13,42
14,63
15,58
16,43
17,51
18,35
19,48
20,56
21,54
22,38
23,33
24,35
25,23
26,29
27,24
28,17
29,21
30,11
31,14
32,14
33,11
34,20
35,18
36,13
37,14
38,5
39,15
40,8
41,11
42,6
43,6
44,8
45,6
46,26
47,26
48,23
49,23
50,11
51,12
52,9
Total,1255
