Semana epidemiológica dos sintomas,Casos notificados
1,0
6,1
8,3
9,4
14,1
15,1
17,1
18,2
19,1
20,4
21,3
22,1
23,4
24,3
25,6
26,2
27,1
29,2
30,5
31,3
32,2
33,4
34,6
35,1
36,3
37,4
38,3
39,3
40,1
41,2
42,3
43,1
44,3
45,1
47,1
48,2
49,2
50,2
51,1
52,1
Total,94
