Semana epidemiológica dos sintomas,Casos notificados
1,0
4,1
5,1
6,1
8,2
9,2
10,2
11,2
12,2
13,9
14,6
15,8
16,7
17,3
18,9
19,15
20,19
21,14
22,6
23,14
24,5
25,6
26,7
27,3
28,1
29,2
30,1
31,1
32,2
33,1
34,3
36,1
37,2
38,2
39,4
40,2
41,2
42,5
43,1
44,1
45,1
46,2
47,1
48,2
49,4
50,2
51,1
52,2
Total,190
