Semana epidemiológica dos sintomas,Casos notificados
1,1
3,1
5,1
6,4
7,1
8,1
9,1
11,4
12,2
13,5
14,12
15,2
16,5
17,6
18,3
19,3
20,4
21,2
22,6
23,3
24,1
25,3
26,2
27,3
28,1
29,3
30,4
31,4
38,1
39,3
40,1
41,2
46,1
47,1
48,2
49,1
50,2
52,2
Total,104
