Semana epidemiológica dos sintomas,Casos notificados
1,1
2,1
3,1
4,2
5,2
6,1
8,4
9,4
10,1
11,4
12,4
13,5
15,1
16,2
17,3
18,2
19,2
21,5
22,2
23,1
25,4
26,1
27,1
28,1
30,1
31,1
32,1
34,1
35,1
36,2
37,2
38,3
41,1
48,1
49,2
50,4
51,1
52,4
Total,80
