Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2018,0,"27,6",25,76,65
01/01/2018,0,"27,4","24,9",77,66
01/01/2018,0,"25,9","24,7",79,74
01/01/2018,0,"25,8","24,6",80,74
01/01/2018,0,"25,3","24,2",82,76
01/01/2018,0,"24,9","24,3",82,79
01/01/2018,0,"24,5","23,9",85,81
01/01/2018,0,"24,7",24,84,80
01/01/2018,0,"24,2","23,6",88,81
01/01/2018,0,"24,9","23,6",88,75
01/01/2018,0,"27,4","24,9",75,72
01/01/2018,0,"26,5","25,1",80,75
01/01/2018,0,"27,3","25,9",79,75
01/01/2018,0,"29,7","27,1",75,68
01/01/2018,0,"29,6","27,2",77,69
01/01/2018,0,30,"28,2",71,63
01/01/2018,0,"30,2","29,1",67,63
01/01/2018,0,"31,4","29,3",68,63
01/01/2018,0,"31,2",28,73,63
01/01/2018,0,"29,3","27,8",73,68
01/01/2018,0,"27,9","26,4",80,72
01/01/2018,0,"27,3","26,5",80,75
01/01/2018,0,"26,8","25,7",83,77
01/01/2018,0,"25,9","25,3",84,81
02/01/2018,0,"25,8","25,4",83,81
02/01/2018,0,"25,8","24,9",86,83
02/01/2018,0,"25,6","24,8",86,83
02/01/2018,0,"26,8","24,8",85,72
02/01/2018,0,"26,8","26,4",75,73
02/01/2018,0,"26,5",26,78,75
02/01/2018,0,"26,3",26,77,75
02/01/2018,0,"26,1","25,5",78,76
02/01/2018,0,"25,6","24,7",83,77
02/01/2018,0,26,"24,3",85,80
02/01/2018,0,"26,5","25,7",80,77
02/01/2018,0,29,"26,3",79,68
02/01/2018,0,"29,5","27,3",76,65
02/01/2018,0,"30,9","27,1",78,61
02/01/2018,0,"32,5",29,67,57
02/01/2018,0,"30,8","28,9",68,63
02/01/2018,0,"29,6","26,8",75,67
02/01/2018,0,"30,7","27,1",76,63
02/01/2018,0,29,"26,9",75,67
02/01/2018,0,"28,9","27,5",75,68
02/01/2018,0,29,"26,5",81,70
02/01/2018,0,30,"26,1",82,58
02/01/2018,0,"29,3","25,4",78,59
02/01/2018,0,"27,5","25,5",76,68
03/01/2018,0,28,"27,2",70,66
03/01/2018,0,"28,6","27,9",67,63
03/01/2018,0,"28,6","26,1",74,63
03/01/2018,0,"26,8","25,4",83,73
03/01/2018,0,27,"25,8",81,75
03/01/2018,0,"27,3","25,8",79,74
