Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.0,0.7917811984606926,0.6803118908382066,0.5136708747508779,0.5020416928107027
2,0.0,0.7634345794392524,0.6927875243664716,0.5440357707725311,0.5349990436198718
3,0.0,0.7007548526240116,0.7135802469135804,0.5616188166768477,0.5490944778432643
4,0.01632101650357815,0.804547088425593,0.8052910052910054,0.47865415347783996,0.49582857377802314
5,0.0,0.8517253774263122,0.8113060428849902,0.5063090412108424,0.4979057956635756
6,0.29526558394003355,0.6199620327102804,0.5888888888888889,0.6206841941806681,0.6407889867912283
7,0.1004481104017131,0.6889602803738317,0.5978835978835979,0.6024183115422035,0.584110503914008
8,0.005869839268830713,0.8261497786522383,0.7115009746588694,0.662507944147246,0.6403438678157529
9,0.19309142908213414,0.745911214953271,0.6956228956228956,0.6905042502473229,0.6729859260172935
10,0.0,0.8062122045079714,0.7395711500974659,0.646290571711226,0.6304028773634653
11,0.06542914171656684,0.731892523364486,0.7105413105413106,0.7190126838980108,0.7160140936465967
12,0.1760951780649227,0.6736273364485982,0.6579124579124579,0.5792018625811642,0.5726857835434686
13,0.0,0.6144859813084111,0.6088888888888888,0.5636673268792922,0.5695699507151397
14,0.0,0.7475042480883601,0.7017283950617283,0.5742512962585896,0.5795109411674273
15,0.42751996007984033,0.6861724723874256,0.674074074074074,0.6898214135131748,0.6983577076194
16,0.005473715146394261,0.6582943925233645,0.6302737520128824,0.4972614544833786,0.502802104393807
17,0.0,0.7751168224299065,0.7293827160493828,0.5228678320139365,0.5315864648078926
18,0.0,0.6845794392523363,0.6355555555555557,0.6461198625276889,0.6642319194996075
19,0.0,0.6712063453025088,0.5753086419753084,0.5121131534511021,0.5212003553801297
20,0.1784431137724551,0.5453148057058532,0.5025341130604288,0.7724446583451084,0.7928713034120425
21,0.0,0.5867406542056072,0.5660130718954248,0.6088271045048714,0.6317257209050393
22,0.0,0.5093457943925235,0.5222222222222223,0.6208549033642051,0.6235777197395069
23,0.006028483573393702,0.4046038657604078,0.3896296296296296,0.5546197401518285,0.5523586836634183
24,0.0,0.5628894080996883,0.516049382716049,0.6150507911239455,0.6465755334724106
25,0.0,0.5268691588785047,0.4637037037037037,0.508698969780361,0.5410823362847044
26,0.0,0.6276285046728972,0.6148148148148148,0.38715403110197943,0.37757529929335115
27,0.02495707884929435,0.5018983644859812,0.7171717171717171,0.311700571978602,0.32727685506461374
28,0.0,0.3126062022090059,0.3621832358674466,0.3227966689085104,0.3585835563397276
29,0.005541711607840218,0.3603971962616822,0.31569664902998257,0.47848344429430295,0.5087370240668141
30,0.0,0.4374999999999999,0.45319865319865343,0.5769826431951827,0.6152688321972968
31,0.013218008427589252,0.45896612149532706,0.4300653594771242,0.6061739135800186,0.6280289094942626
32,0.0,0.43341121495327073,0.4056644880174293,0.5744220054421266,0.6117078803934921
33,0.005756229476530803,0.3552432655305112,0.3696969696969697,0.3910803423233316,0.41452017425782217
34,0.018333196620457667,0.34345794392523366,0.28465608465608455,0.6749697145454508,0.7130466338100934
35,0.0,0.5356308411214953,0.44888888888888884,0.4579983422698563,0.4930094869333446
36,0.027665599034489074,0.3657890007189072,0.34222222222222215,0.787467066496369,0.8271454645236601
37,0.0,0.5908294392523363,0.4871794871794872,0.7108186430882321,0.7160140936465967
38,0.0,0.5083722741433024,0.48518518518518516,0.7864428113951465,0.811714673373841
39,0.06465330209146922,0.31074766355140154,0.31851851851851853,0.6597765972106533,0.6867846142570356
40,0.0,0.4379543094496366,0.4324786324786325,0.5815917911506828,0.6148237132218209
41,0.1107577947553169,0.512266355140187,0.5,0.7789316073195163,0.8115663003820157
42,0.0,0.5233644859813085,0.5148148148148148,0.6833344645387667,0.7002865565131272
43,0.0,0.4283002336448598,0.47160493827160466,0.6116366074532043,0.6568132699083482
44,0.0,0.7051951621770206,0.5916264090177137,0.6502168829325781,0.6396020028566268
45,0.0,0.5083722741433024,0.5259259259259259,0.8364606021715032,0.8510335162075147
46,0.0,0.42969413763806313,0.4021786492374727,0.8183654287165756,0.8240296316953313
47,0.03453737685918482,0.3866822429906543,0.3445925925925927,0.9102069694595101,0.8915393429757901
48,0.0,0.3949285321605278,0.3955555555555556,0.7509353012194399,0.7501398817663892
49,0.011222837344179512,0.4699182242990653,0.44691358024691363,0.7894867244424412,0.7549526000786907
50,0.017048705137495648,0.5189039932030586,0.4718954248366014,0.8438083612841726,0.8261794616407132
51,0.016421145439182962,0.7519060501721594,0.6525252525252527,0.5498398830127909,0.5299543618978156
52,0.02896803795007382,0.6092289719626167,0.5407407407407407,0.7272067247077891,0.7295160359026887
