Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.2808826790862719,0.3720794392523361,0.405432098765432,0.8523365562404491,0.851330262191165
2,0.21030795551753634,0.6582943925233645,0.6193732193732195,0.742911969593198,0.7266969490580101
3,0.005719330569629961,0.6049624136529863,0.5992202729044837,0.6831637553552297,0.713640125777394
4,0.06863196683555962,0.5852803738317758,0.5986531986531987,0.7157692094108067,0.7728409495156425
5,0.07483098319490045,0.5572773501924133,0.5381263616557734,0.6252933421361687,0.6793659646657764
6,0.5365771952598299,0.5492601246105918,0.5680311890838208,0.7287431073596227,0.7899038435755388
7,0.21999835944549256,0.6801985981308412,0.4962962962962963,0.6896507043296374,0.7498431357827389
8,0.0,0.6144859813084111,0.5764705882352941,0.555814704436588,0.6261000606005352
9,0.0,0.5409640390085331,0.5555555555555556,0.5679350564677188,0.6278805365024374
10,0.06542914171656684,0.6391282126168224,0.5118908382066275,0.6572159594575974,0.718536434507625
11,0.011152694610778443,0.6677300503235084,0.5485838779956427,0.5795432809482383,0.6382666459302004
12,0.0,0.6548870716510903,0.5259259259259259,0.5716906585055339,0.6287707744533882
13,0.023024917906123214,0.6276285046728972,0.45185185185185184,0.6654100002673761,0.7269936950416603
14,0.11553870675914356,0.4995533260032984,0.3975308641975306,0.7087701328857875,0.7713572195973907
15,0.01683425601626927,0.48196553738317754,0.37321937321937326,0.7799558624207388,0.7878594947480553
16,0.011365803424997127,0.4452471716674865,0.4074074074074074,0.7227682859358259,0.6882683441752876
17,0.0,0.44201918347270036,0.30205761316872426,0.7475211175486987,0.7206136563931774
18,0.0,0.44363317757009346,0.43333333333333335,0.7464968624474763,0.7146787367201703
19,0.0,0.30344626168224303,0.22304526748971196,0.7632263624341072,0.7409407562732278
20,0.005507503511495492,0.2630451713395641,0.028148148148148127,0.7278895614419376,0.6901971930690148
21,0.0,0.27587273227047854,0.2818342151675484,0.7128671532906766,0.683223662453231
22,0.04055525313010338,0.21144859813084116,0.2518518518518518,0.7619967788044348,0.7338779943476752
23,,0.43183860531991364,0.13415637860082308,0.7019417655443053,0.6667542603606358
24,,0.31220794392523366,0.24938271604938245,0.7179884287967883,0.7072600871289111
25,,0.19650219901044538,0.20455840455840477,0.5983212911373139,0.5717955455925177
26,0.0,0.18603971962616822,0.22962962962962963,0.6630200716978575,0.6308479963389411
27,0.0,0.27716121495327095,0.07450980392156875,0.6043351905669807,0.5715113129937202
28,0.0,0.31220794392523366,0.2906318082788672,0.48582393918639616,0.4903387730804915
29,0.0162221012520413,0.31585864485981313,0.22304526748971196,0.6790667349503404,0.6722440610581674
30,0.0,0.24123831775700927,0.3053497942386832,0.6290489441739838,0.6127464913362685
31,0.0,0.3735397196261682,0.1259259259259259,0.6230741227501867,0.5983543111292257
32,0.0,0.4156338886631451,0.3508417508417509,0.5220142860962513,0.5182328955436258
33,0.03831600602476028,0.41296728971962615,0.32592592592592595,0.5343053473109193,0.551023326736992
34,0.01845963245921941,0.5300552251486831,0.2931216931216932,0.5418165513865495,0.4996862715654781
35,0.011662948612578763,0.3179030373831775,0.3715399610136453,0.6852122655576742,0.6959837397501971
36,0.016027824590340255,0.3962404418011894,0.3333333333333333,0.41805239332218597,0.43484727413787244
37,0.0,0.5823598130841122,0.4544662309368191,0.3265522709463255,0.35071978777299284
38,0.0,0.4655373831775701,0.4474945533769063,0.3263815617627885,0.3182261025632774
39,0.005908712376571279,0.4374999999999999,0.31851851851851853,0.5776654799293307,0.5873747097341621
40,0.0,0.6161287967289719,0.5555555555555556,0.661995816596635,0.6498397392925647
41,0.0,0.41296728971962615,0.41548821548821574,0.7161106277778807,0.7226908782787302
42,0.170225338796092,0.4304906542056074,0.4089668615984406,0.7354007655175678,0.7275871870089613
43,0.011152694610778443,0.4947429906542053,0.4864197530864195,0.694089143101601,0.6875264792161614
44,0.017494422918868144,0.7157929322429907,0.5002469135802466,0.6903335410637859,0.6640835465077823
45,0.0,0.668516355140187,0.5340067340067343,0.4127604086325373,0.39270934445952005
46,0.11007854421028067,0.6910046728971961,1.0,0.4760935157247839,0.4210485858981302
47,0.04726969901257086,0.5969626168224299,0.5444444444444444,0.6730919135265433,0.6536974370800193
48,0.0,0.5540303738317758,0.5682539682539683,0.6575573778246717,0.6309963693307663
49,0.0,0.7777299557304476,0.6632996632996632,0.617611428877001,0.5924193914562182
50,0.0,0.5582267584849975,0.6034188034188034,0.5153566279383062,0.5039890883284083
51,0.0058314743062893816,0.7741433021806854,0.5,0.5493277554621798,0.5035439693529328
52,0.0403261274062045,0.5141647196261682,0.5614814814814816,0.6621451871322297,0.6279732696223282
