Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,223,1,0.4166666666666667,24.241071428571427,22.9640246449457,84.73184470568192,66.20361615129056
2,212,2,0.0,25.979166666666668,24.81076388888889,87.52983111849392,79.11620985603544
3,246,3,0.0,25.781462585034017,24.435267857142858,82.63095238095238,74.11309523809524
4,308,4,0.0178571428571428,26.05226757369614,25.631340579710145,79.42261904761905,70.46428571428571
5,357,5,0.1309523809523809,28.28333333333333,26.476007531948312,73.08333333333333,64.41666666666667
6,478,6,0.0982142857142857,26.618055555555557,24.81527093596059,83.05419799498748,72.7611215538847
7,371,7,0.0,29.702976190476196,25.805735930735928,75.19877819548871,64.96804511278195
8,475,8,0.125,26.758333333333333,26.880275974025977,78.85119047619048,69.74107142857143
9,821,9,0.1339285714285714,26.64523809523809,26.55505952380953,79.44345238095238,69.69940476190476
10,912,10,0.0,28.077976190476196,26.89940476190477,70.95238095238095,64.85416666666667
11,1065,11,0.0,25.33184523809524,25.14583333333333,82.70654761904763,70.02916666666667
12,1319,12,0.0,26.722184065934066,26.13035714285714,82.04940476190475,71.15238095238095
13,1453,13,0.0178571428571428,25.58585164835165,25.00552721088436,79.25892857142857,70.04761904761905
14,1338,14,0.0357142857142857,24.906135531135533,24.183117477760334,78.18229166666667,70.9858630952381
15,1655,15,0.0267857142857142,24.89759253903991,24.22929748822606,80.69866071428571,68.94766865079366
16,1407,16,0.0,24.565319548872186,24.00440630797773,73.45238095238095,63.51587301587301
17,1469,17,0.0178571428571428,23.936507936507937,22.9870787995788,77.49702380952381,69.74107142857143
18,1788,18,0.0,23.84623015873016,23.43581081081081,85.47470238095238,73.66889880952381
19,1707,19,0.0654761904761904,22.714285714285715,21.794642857142858,84.95684523809524,73.27157738095238
20,1642,20,0.0238095238095238,22.5375,21.947420634920636,66.31547619047619,60.26190476190476
21,1407,21,0.0,24.14186507936508,22.73945279866333,70.82738095238095,65.25595238095238
22,1238,22,0.1071428571428571,21.7546742340347,21.21108575008951,76.9702380952381,69.88690476190476
23,1124,23,0.0,23.121615448504983,21.70788159013605,64.07142857142857,58.49404761904762
24,1233,24,0.0,23.259821428571428,22.24167323179272,84.62202380952381,73.53571428571429
25,1099,25,0.0,22.0091237314598,21.13611694677871,63.57142857142857,56.57738095238095
26,921,26,0.0535714285714285,22.6783762685402,21.577635017421603,68.5952380952381,62.410714285714285
27,776,27,0.0,22.27380952380953,21.498379316883547,58.29761904761905,50.375
28,700,28,0.0089285714285714,22.0062656641604,22.074283284742467,66.0297619047619,60.160714285714285
29,597,29,0.0595238095238095,20.463972431077693,19.975977891156464,72.61904761904762,68.61904761904762
30,532,30,0.0238095238095238,21.668055555555554,20.9609268707483,73.06547619047619,67.82142857142857
31,557,31,0.0,22.565460927960928,20.89345238095238,72.125,68.19047619047619
32,498,32,0.0178571428571428,22.946330455259027,22.9103835978836,68.78571428571429,62.86904761904762
33,484,33,0.2172619047619047,23.323554421768705,21.48009259259259,72.38095238095238,68.63095238095238
34,483,34,0.3125,24.16624149659864,23.520467032967037,65.61309523809524,59.85714285714285
35,434,35,0.1517857142857142,21.83630952380953,20.258699633699635,76.39285714285714,73.66666666666667
36,408,36,0.0,24.21003401360544,23.17361111111111,71.98809523809524,66.48214285714286
37,501,37,0.0327380952380952,25.028061224489797,23.420882936507937,71.74702380952381,66.00595238095238
38,482,38,0.0,25.02083333333333,23.929315476190474,89.56558199013763,81.12934238610437
39,413,39,0.0,23.99404761904762,24.48543233082707,99.0443070582174,90.1808346213292
40,451,40,0.3154761904761904,23.32517636684303,23.05600539811066,97.83256053580628,89.14219474497682
41,362,41,0.1636904761904762,23.01708553791887,22.924221611721613,96.62081401339516,88.10355486862443
42,449,42,0.0,22.78111471861472,22.207586273375743,95.40906749098404,87.06491499227202
43,420,43,0.0119047619047619,24.64448051948052,23.103540100250623,94.1973209685729,86.02627511591963
44,433,44,0.0119047619047619,24.46011904761905,23.74836309523809,92.98557444616178,84.98763523956724
45,658,45,0.0,26.160119047619045,24.049255952380957,91.77382792375064,83.94899536321483
46,543,46,0.0535714285714285,26.783583959899747,26.196428571428573,90.56208140133953,82.91035548686244
47,867,47,0.0089285714285714,25.48118876737298,24.01582792207792,89.3503348789284,81.87171561051005
48,952,48,0.0,26.016774891774894,25.210362554112557,88.13858835651726,80.83307573415766
49,1166,49,0.0,26.16269841269841,25.95833333333333,86.92684183410613,79.79443585780525
50,1419,50,0.0119047619047619,24.895919599723943,24.543838481338483,84.57821814970191,78.2507175977037
51,1223,51,0.0,26.700667701863352,24.42639961389961,92.11904761904762,86.99107142857143
52,1516,52,0.0,26.4840625,24.99328399122807,83.53926282051282,76.04567307692308
