Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,77,1,0.0952380952380952,26.838789682539684,23.799107142857142,83.55952380952381,78.77380952380952
2,88,2,0.0,26.542998120300755,25.48839285714286,80.39285714285714,75.8452380952381
3,78,3,0.0297619047619047,27.619204260651628,26.172023809523807,79.52380952380952,74.74404761904762
4,106,4,0.0,26.79719387755102,25.89464285714286,81.45238095238095,76.39880952380952
5,142,5,0.0,27.12780612244898,27.757738095238096,73.79166666666667,68.17857142857143
6,170,6,0.0297619047619047,26.15833333333333,26.1359693877551,79.86309523809524,74.32738095238095
7,145,7,0.0238095238095238,29.58699633699634,26.07132227891157,75.4702380952381,70.23214285714286
8,192,8,0.0,29.03800366300366,26.555803571428573,74.55952380952381,69.04166666666667
9,280,9,0.0,27.3125,26.435799319727888,72.80952380952381,67.30357142857143
10,370,10,0.0,27.7117673992674,27.60884353741497,73.29166666666667,67.58928571428571
11,476,11,0.0238095238095238,27.83444187391556,26.015056022408967,80.32738095238095,74.10714285714286
12,334,12,0.0,28.90067717370349,25.73732492997199,77.19047619047619,71.76190476190476
13,272,13,0.0,27.46085164835165,25.628690476190474,73.76190476190476,68.05357142857143
14,354,14,0.1537698412698412,26.694170771756976,23.33023809523809,80.2202380952381,75.44047619047619
15,379,15,0.2123015873015873,25.227456212370004,23.883210180623973,80.98809523809524,75.75595238095238
16,241,16,0.125,25.952947845804992,25.14655172413793,78.74404761904762,73.61904761904762
17,249,17,0.1636904761904762,24.4435609350123,22.375270562770563,83.38095238095238,78.95238095238095
18,237,18,0.0,23.91400709219858,22.63068181818182,82.69642857142857,77.95833333333333
19,209,19,0.0208333333333333,23.69345238095238,20.87374686716792,82.29761904761905,77.79761904761905
20,177,20,0.0,20.78273809523809,19.06375313283208,76.05357142857143,69.9047619047619
21,197,21,0.0446428571428571,23.375,22.577906162464984,84.1547619047619,79.1547619047619
22,138,22,0.0178571428571428,20.580357142857142,20.21765244559362,82.80952380952381,77.98809523809524
23,172,23,0.0,21.214593596059117,21.62110805860806,77.66071428571429,71.48809523809524
24,204,24,0.0,22.19777412880861,22.419258832565284,81.61904761904762,76.97619047619048
25,203,25,0.0,19.64417989417989,19.804805793285052,75.0,69.17261904761905
26,170,26,0.0,22.26686507936508,20.793176753460006,82.21428571428571,77.4047619047619
27,156,27,0.0,19.42036435786436,18.110734811165845,76.73214285714286,70.54166666666667
28,97,28,0.0,22.41931818181818,21.74702380952381,75.06547619047619,69.78571428571429
29,97,29,0.0386904761904761,21.25009920634921,20.642857142857142,85.5952380952381,81.64880952380952
30,97,30,0.0089285714285714,22.429991105637654,21.376984126984127,83.5952380952381,79.29761904761905
31,71,31,0.0,23.90383825944171,21.64817821067821,81.0,76.08928571428571
32,78,32,0.0,24.514880952380956,21.30073051948052,78.95833333333333,73.75
33,84,33,0.0,22.649350649350648,23.068080357142858,80.2797619047619,75.95238095238095
34,77,34,0.244047619047619,23.389339826839823,22.766741071428573,81.0952380952381,76.5
35,46,35,0.3273809523809524,22.116071428571427,22.028486394557824,84.96428571428571,81.60119047619048
36,63,36,0.0,23.067791005291003,21.91794217687075,79.14285714285714,74.375
37,83,37,0.0,23.96749811035525,23.3008658008658,78.18452380952381,73.50595238095238
38,75,38,0.0,24.656462585034017,23.859848484848484,76.89285714285714,72.20238095238095
39,63,39,0.0,23.165391156462583,23.729577175697862,79.26785714285714,75.0952380952381
40,80,40,0.0952380952380952,25.296897546897547,24.185601395730707,82.49404761904762,78.63392857142857
41,77,41,0.0,25.039742664742665,24.532242063492067,82.91964285714286,78.87797619047619
42,120,42,0.0059523809523809,24.07585978835979,22.77430555555556,82.4702380952381,77.99404761904762
43,93,43,0.0357142857142857,24.650264550264552,23.944940476190474,82.75,78.94642857142857
44,103,44,0.0595238095238095,26.681655092592592,25.698529411764703,78.5,73.69047619047619
45,113,45,0.0,27.660011574074076,25.44135154061625,68.2797619047619,62.095238095238095
46,100,46,0.0,28.78604497354497,28.116071428571427,75.0,69.72619047619048
47,167,47,0.0,25.4312343358396,25.100529100529094,75.19047619047619,70.0
48,142,48,0.0357142857142857,25.24138471177945,25.126405423280424,78.49404761904762,73.35119047619048
49,142,49,0.1041666666666666,26.98809523809524,25.568983843537413,76.80952380952381,72.17857142857143
50,167,50,0.0,25.08296130952381,26.232747046186898,75.76190476190476,70.45238095238095
51,132,51,0.0327380952380952,28.1640625,27.03829887218045,76.01785714285714,70.03571428571429
52,117,52,0.0,27.320512820512818,26.621584699453557,77.578125,71.74479166666667
