Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,1,1,0.0333333333333333,24.327981651376145,22.30373831775701,84.70833333333333,79.61666666666666
2,2,2,0.2916666666666667,29.638392857142858,25.42589285714286,83.76190476190476,77.88095238095238
3,4,3,0.0,24.482142857142858,24.410416666666663,79.52380952380952,76.625
4,2,4,0.0,25.0,26.0,78.0,76.0
5,1,5,0.0,25.0,26.0,78.0,76.0
6,5,6,0.0,25.0,26.0,78.0,76.0
7,7,7,0.0,25.0,26.0,78.0,76.0
8,5,8,0.0,25.0,26.0,78.0,76.0
9,3,9,0.0,25.0,26.0,78.0,76.0
10,8,10,0.0,25.0,26.0,78.0,76.0
11,5,11,0.0,25.0,26.0,78.0,76.0
12,2,12,0.0,25.0,26.0,78.0,76.0
13,0,13,0.0,25.0,26.0,78.0,76.0
14,5,14,0.0,25.0,26.0,78.0,76.0
15,2,15,0.0,25.0,26.0,78.0,76.0
16,3,16,0.0,25.0,26.0,78.0,76.0
17,9,17,0.0,25.0,26.0,78.0,76.0
18,3,18,0.0,25.0,26.0,78.0,76.0
19,3,19,0.0,25.0,26.0,78.0,76.0
20,0,20,0.0,25.0,26.0,78.0,76.0
21,5,21,0.0,25.0,26.0,78.0,76.0
22,3,22,0.0,25.0,26.0,78.0,76.0
23,1,23,0.0,25.0,26.0,78.0,76.0
24,0,24,0.0,25.0,26.0,78.0,76.0
25,2,25,0.0,25.0,26.0,78.0,76.0
26,3,26,0.0,25.0,26.0,78.0,76.0
27,0,27,0.0,25.0,26.0,78.0,76.0
28,2,28,0.0,25.0,26.0,78.0,76.0
29,0,29,0.0,25.0,26.0,78.0,76.0
30,0,30,0.0,25.0,26.0,78.0,76.0
31,1,31,0.0,25.0,26.0,78.0,76.0
32,1,32,0.0,25.0,26.0,78.0,76.0
33,1,33,0.0,25.0,26.0,78.0,76.0
34,0,34,0.0,25.0,26.0,78.0,76.0
35,2,35,0.0,25.0,26.0,78.0,76.0
36,0,36,0.0,25.0,26.0,78.0,76.0
37,0,37,0.0,25.0,26.0,78.0,76.0
38,0,38,0.0,25.0,26.0,78.0,76.0
39,2,39,0.0,25.0,26.0,78.0,76.0
40,0,40,0.0,25.0,26.0,78.0,76.0
41,1,41,0.0,25.0,26.0,78.0,76.0
42,1,42,0.0,25.0,26.0,78.0,76.0
43,0,43,0.0,25.0,26.0,78.0,76.0
44,0,44,0.0,25.0,26.0,78.0,76.0
45,1,45,0.0,25.0,26.0,78.0,76.0
46,0,46,0.0,25.0,26.0,78.0,76.0
47,0,47,0.0,25.0,26.0,78.0,76.0
48,0,48,0.0,25.0,26.0,78.0,76.0
49,2,49,0.0,25.0,26.0,78.0,76.0
50,3,50,0.0,25.0,26.0,78.0,76.0
51,0,51,0.0,25.0,26.0,78.0,76.0
52,2,52,0.0,25.0,26.0,78.0,76.0
